ID,smiles,clogp,tpsa,mw,scaffold_clogp,scaffold_tpsa,scaffold_mw
STOCK1S-00205,COc1ccc(/C=N/NC(=O)c2nc(-c3ccccc3)cc(-c3ccccc3)n2)cc1O,0.67167195466721,0.7768863639336914,0.4237245449709699,0.5021176354309231,-0.38840608412690375,-0.14666856865264286
STOCK1S-00206,COc1cccc(Cn2c(NCCO)nc3c2c(=O)n(C)c(=O)n3C)c1,-1.2258066073725762,1.0383453958984077,-0.3820976501092946,-1.5954095264175745,0.25634160437912706,-1.8336865510243376
STOCK1S-00207,O=C1c2cccc3c(N4CCOCC4)ccc(c23)C(=O)N1CCO,-1.046308500993107,-0.2760696770497796,-0.791649365101098,-1.0350898693443902,-0.7285797111914363,-1.3375028175830093
STOCK1S-00208,CC(Nc1cccc(C)c1)=C1C(=O)NC(=O)NC1=O,-0.9382016869236541,0.40506867853757617,-1.6227243122352255,-1.6529305105073586,0.40506867853757617,-1.970266839795365
STOCK1S-00210,CCOc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)NCCC(=O)O)c2ccccc12,0.21884718630082187,1.0945135994369697,0.5230972772474766,0.3317984094913129,-1.89703656508519,-1.4489031727743344
STOCK1S-00211,CCOC(=O)/C(C#N)=C1\CC2CC1C(C)C2(C)C,0.5569359491689694,-1.0667755846102445,-1.7707418271638915,-0.6258137892871117,-3.0480891868965725,-3.494900908863809
STOCK1S-00215,C/C(=N\NC(=O)c1cc2ccccc2oc1=O)c1ccc(C)cc1,0.2489335166314716,-0.213177111115756,-0.8661705907596421,-0.5267328743168536,-0.21317711111575546,-1.213713118319782
STOCK1S-00216,NNc1nc2c(c(=O)n1CCc1ccccc1)C1(CCCCC1)Cc1ccccc1-2,1.1637619338041072,-0.16294216851436538,0.12706582416111487,0.67371170587607,-1.6680126929103485,-0.2451556401811865
STOCK1S-00218,CC(=O)/C=C(/C)Nc1ccc2ccccc2c1,-0.08099624140124596,-1.89703656508519,-2.0440250988609283,-0.3824714700703997,-3.0480891868965725,-3.2473215103373563
STOCK1S-00221,CCCCCCCn1c(=O)c2c(nc3n2CC(O)CN3c2ccc(OCC)cc2)n(C)c1=O,0.8384216159913191,0.6906563049801349,0.8093104140927729,-1.3437552210247676,0.3845000406220448,-1.3250240735514685
